,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
3000,MIT,0,0,1.9,-2945.6,0.0,-2961.4,0.0
3001,MIT,0,0,2.2,-2854.4,0.0,-2915.6,0.0
3002,MIT,0,0,3.9,-3096.5,0.0,-3073.1,0.0
3003,MIT,0,0,6.2,-2652.8,0.0,-2589.4,0.0
3004,MIT,0,0,2.7,-3000.6,0.0,-2702.8,0.0
3005,MIT,0,0,1.0,-3128.9,0.0,-3046.8,0.0
3006,MIT,0,0,3.1,-2944.9,0.0,-3029.0,0.0
3007,MIT,0,0,3.3,-3033.5,0.0,-3141.5,0.0
3008,MIT,0,0,4.2,-2784.3,0.0,-3138.8,0.0
3009,MIT,0,0,2.1,-2952.3,0.0,-2958.5,0.0
3010,MIT,0,0,1.9,-3091.3,0.0,-3141.5,0.0
3011,MIT,0,0,4.9,-2907.5,0.0,-3112.3,0.0
3012,MIT,0,0,5.3,-2642.7,0.0,-2915.4,0.0
3013,MIT,0,0,2.5,-3023.3,0.0,-2754.6,0.0
3014,MIT,0,0,2.7,-3017.2,0.0,-3057.4,0.0
3015,MIT,0,0,3.9,-3005.4,0.0,-2577.6,0.0
3016,MIT,0,0,3.6,-2727.7,0.0,-2651.6,0.0
3017,MIT,0,0,1.0,-2796.1,0.0,-2980.8,0.0
3018,MIT,0,0,2.5,-2987.1,0.0,-3014.0,0.0
3019,MIT,0,0,2.2,-2884.1,0.0,-2746.4,0.0
3020,MIT,0,0,4.5,-2876.5,0.0,-3049.2,0.0
3021,MIT,0,0,2.5,-2579.2,0.0,-2993.0,0.0
3022,MIT,0,0,4.1,-2844.1,0.0,-2727.1,0.0
3023,MIT,0,0,4.2,-2884.0,0.0,-2980.6,0.0
3024,MIT,0,0,4.5,-3118.9,0.0,-2915.1,0.0
3025,MIT,0,0,2.7,-2647.0,0.0,-2924.8,0.0
3026,MIT,0,0,3.7,-2670.5,0.0,-2730.7,0.0
3027,MIT,0,0,5.7,-2470.0,0.0,-2544.7,0.0
3028,MIT,0,0,5.3,-2860.9,0.0,-2594.0,0.0
3029,MIT,0,0,4.8,-2779.5,0.0,-2788.9,0.0
3030,MIT,0,0,3.0,-2845.3,0.0,-2795.6,0.0
3031,MIT,0,0,3.1,-2447.5,0.0,-2927.3,0.0
3032,MIT,0,0,3.1,-2106.9,0.0,-2419.6,0.0
3033,MIT,0,0,1.6,-2918.2,0.0,-2319.7,0.0
3034,MIT,0,0,6.1,-2745.2,0.0,-2705.0,0.0
3035,MIT,0,0,4.3,-1929.4,0.0,-2721.6,0.0
3036,MIT,0,0,4.2,-2139.4,0.0,-2375.1,0.0
3037,MIT,0,0,1.1,-2471.8,0.0,-2244.2,0.0
3038,MIT,0,0,5.4,-2662.9,0.0,-2510.2,0.0
3039,MIT,0,0,4.9,-2945.9,0.0,-2537.7,0.0
3040,MIT,0,0,4.0,-2496.0,0.0,-2751.0,0.0
3041,MIT,0,0,5.1,-2425.6,0.0,-2420.6,0.0
3042,MIT,0,0,2.2,-2714.4,0.0,-2387.2,0.0
3043,MIT,0,0,3.4,-2159.5,0.0,-2075.2,0.0
3044,MIT,0,0,3.6,-2354.0,0.0,-2161.7,0.0
3045,MIT,0,0,2.1,-1908.5,0.0,-1960.0,0.0
3046,MIT,0,0,3.9,-2024.9,0.0,-2251.7,0.0
3047,MIT,0,0,3.3,-2353.5,0.0,-2267.5,0.0
3048,MIT,0,0,3.5,-2530.3,0.0,-2018.1,0.0
3049,MIT,0,0,4.6,-2514.2,0.0,-2661.8,0.0
3050,MIT,0,0,4.0,-2343.1,0.0,-2394.8,0.0
