,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
2000,Pentagon,0,0,6.1,-1814.6,0.0,-1951.9,0.0
2001,Pentagon,0,0,2.9,-1970.0,0.0,-915.5,0.0
2002,Pentagon,0,0,3.3,-1822.6,0.0,-1432.5,0.0
2003,Pentagon,0,0,4.2,-1904.5,0.0,-1156.8,0.0
2004,Pentagon,0,0,1.5,-1169.0,0.0,-883.3,0.0
2005,Pentagon,0,0,5.9,-1749.1,0.0,-1604.1,0.0
2006,Pentagon,0,0,4.0,-2233.2,0.0,-1396.5,0.0
2007,Pentagon,0,0,3.9,-2135.1,0.0,-1130.2,0.0
2008,Pentagon,0,0,5.0,-2131.6,0.0,-1839.0,0.0
2009,Pentagon,0,0,2.7,-2247.2,0.0,-2113.5,0.0
2010,Pentagon,0,0,4.9,-1273.2,0.0,-1075.0,0.0
2011,Pentagon,0,0,5.3,-1806.5,0.0,-1810.1,0.0
2012,Pentagon,0,0,4.7,-1738.9,0.0,-1371.3,0.0
2013,Pentagon,0,0,5.6,-1241.5,0.0,-1139.6,0.0
2014,Pentagon,0,0,4.4,-1522.6,0.0,-965.0,0.0
2015,Pentagon,0,0,3.5,-1575.2,0.0,-749.9,0.0
2016,Pentagon,0,0,5.1,-2043.7,0.0,-750.4,0.0
2017,Pentagon,0,0,3.1,-1431.3,0.0,-734.0,0.0
2018,Pentagon,0,0,5.7,-1816.6,0.0,-938.2,0.0
2019,Pentagon,0,0,4.0,-1444.2,0.0,-1146.9,0.0
2020,Pentagon,0,0,5.4,-2356.1,0.0,-1789.9,0.0
2021,Pentagon,0,0,3.7,-1610.6,0.0,-1851.3,0.0
2022,Pentagon,0,0,7.0,-1747.9,0.0,-1436.3,0.0
2023,Pentagon,0,0,5.9,-1041.0,0.0,-1419.5,0.0
2024,Pentagon,0,0,3.1,-969.3,0.0,-581.0,0.0
2025,Pentagon,0,0,4.8,-1591.6,0.0,-741.1,0.0
2026,Pentagon,0,0,2.5,-1469.1,0.0,-935.4,0.0
2027,Pentagon,0,0,4.5,-1103.2,0.0,-1003.8,0.0
2028,Pentagon,0,0,4.0,-1030.8,0.0,-827.5,0.0
2029,Pentagon,0,0,3.1,-590.6,0.0,-1281.6,0.0
2030,Pentagon,0,0,4.3,-1497.5,0.0,-1348.2,0.0
2031,Pentagon,0,0,5.2,-1030.1,0.0,-914.6,0.0
2032,Pentagon,0,0,4.6,-1268.1,0.0,-819.6,0.0
2033,Pentagon,0,0,2.3,-672.0,0.0,-539.8,0.0
2034,Pentagon,0,0,3.0,-1444.1,0.0,-460.2,0.0
2035,Pentagon,0,0,1.8,-1359.2,0.0,-694.6,0.0
2036,Pentagon,0,0,3.3,-917.8,0.0,-708.6,0.0
2037,Pentagon,0,0,3.1,-1062.3,0.0,-912.0,0.0
2038,Pentagon,0,0,2.3,-1079.4,0.0,-724.4,0.0
2039,Pentagon,0,0,6.6,-862.6,0.0,-681.6,0.0
2040,Pentagon,0,0,2.2,-1042.4,0.0,-1156.7,0.0
2041,Pentagon,0,0,3.7,-1442.4,0.0,-867.0,0.0
2042,Pentagon,0,0,3.7,-1085.0,0.0,-555.8,0.0
2043,Pentagon,0,0,3.9,-1103.4,0.0,-579.6,0.0
2044,Pentagon,0,0,3.2,-1098.9,0.0,-818.0,0.0
2045,Pentagon,0,0,4.6,-1030.9,0.0,-445.8,0.0
