,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
4000,SUNY,0,0,7.1,-1706.8,0.0,-2038.7,0.0
4001,SUNY,0,0,2.8,-1645.0,0.0,-2285.6,0.0
4002,SUNY,0,0,4.5,-1940.2,0.0,-1890.8,0.0
4003,SUNY,0,0,5.8,-1924.4,0.0,-1754.9,0.0
4004,SUNY,0,0,6.2,-2492.6,0.0,-1555.2,0.0
4005,SUNY,0,0,3.6,-1941.8,0.0,-2368.4,0.0
4006,SUNY,0,0,1.8,-1562.1,0.0,-1445.1,0.0
4007,SUNY,0,0,4.4,-2198.6,0.0,-1718.2,0.0
4008,SUNY,0,0,4.0,-2001.6,0.0,-1517.7,0.0
4009,SUNY,0,0,2.8,-1764.0,0.0,-2122.2,0.0
4010,SUNY,0,0,3.8,-1208.0,0.0,-1906.9,0.0
4011,SUNY,0,0,4.5,-1835.9,0.0,-2201.4,0.0
4012,SUNY,0,0,7.6,-1819.4,0.0,-1742.4,0.0
4013,SUNY,0,0,3.1,-1278.6,0.0,-1268.1,0.0
4014,SUNY,0,0,4.0,-2203.1,0.0,-1998.7,0.0
4015,SUNY,0,0,4.0,-1687.5,0.0,-1418.8,0.0
4016,SUNY,0,0,5.5,-1572.1,0.0,-1997.4,0.0
4017,SUNY,0,0,3.9,-1479.1,0.0,-1701.5,0.0
4018,SUNY,0,0,4.0,-1529.5,0.0,-1750.8,0.0
4019,SUNY,0,0,4.0,-1774.8,0.0,-1811.5,0.0
4020,SUNY,0,0,4.5,-2072.4,0.0,-1795.2,0.0
4021,SUNY,0,0,6.2,-1975.4,0.0,-2420.2,0.0
4022,SUNY,0,0,3.8,-1969.8,0.0,-1587.3,0.0
4023,SUNY,0,0,6.8,-1978.3,0.0,-1803.9,0.0
4024,SUNY,0,0,5.7,-1587.8,0.0,-1862.8,0.0
4025,SUNY,0,0,6.6,-1503.8,0.0,-1113.3,0.0
4026,SUNY,0,0,6.4,-1273.0,0.0,-1773.8,0.0
4027,SUNY,0,0,4.1,-1276.3,0.0,-1624.0,0.0
4028,SUNY,0,0,4.5,-1650.7,0.0,-1686.0,0.0
4029,SUNY,0,0,4.2,-1955.4,0.0,-1469.2,0.0
4030,SUNY,0,0,4.3,-1567.8,0.0,-1843.5,0.0
4031,SUNY,0,0,4.6,-1668.6,0.0,-1880.9,0.0
4032,SUNY,0,0,3.9,-1483.7,0.0,-1530.0,0.0
4033,SUNY,0,0,3.7,-1066.8,0.0,-1383.1,0.0
4034,SUNY,0,0,2.3,-1110.5,0.0,-730.5,0.0
4035,SUNY,0,0,4.7,-1407.8,0.0,-1214.2,0.0
4036,SUNY,0,0,5.7,-1573.7,0.0,-1533.9,0.0
4037,SUNY,0,0,5.5,-1497.8,0.0,-2033.5,0.0
4038,SUNY,0,0,2.2,-1063.9,0.0,-1144.1,0.0
4039,SUNY,0,0,3.1,-1683.0,0.0,-1243.5,0.0
4040,SUNY,0,0,3.5,-1263.0,0.0,-1269.1,0.0
4041,SUNY,0,0,3.3,-1450.1,0.0,-836.9,0.0
4042,SUNY,0,0,3.2,-1446.3,0.0,-1514.0,0.0
4043,SUNY,0,0,2.7,-1231.2,0.0,-1265.9,0.0
4044,SUNY,0,0,3.8,-721.4,0.0,-1035.8,0.0
4045,SUNY,0,0,4.9,-1340.6,0.0,-1385.8,0.0
4046,SUNY,0,0,1.4,-760.4,0.0,-1363.0,0.0
4047,SUNY,0,0,4.4,-1439.6,0.0,-897.5,0.0
4048,SUNY,0,0,6.7,-1047.8,0.0,-1572.5,0.0
4049,SUNY,0,0,3.1,-775.6,0.0,-1042.4,0.0
4050,SUNY,0,0,2.9,-1263.5,0.0,-1372.1,0.0
4051,SUNY,0,0,2.3,-1392.8,0.0,-1034.8,0.0
4052,SUNY,0,0,3.9,-1341.5,0.0,-920.4,0.0
4053,SUNY,0,0,3.8,-1287.7,0.0,-1066.4,0.0
4054,SUNY,0,0,4.4,-1052.7,0.0,-1184.2,0.0
4055,SUNY,0,0,4.6,-1033.6,0.0,-1013.0,0.0
4056,SUNY,0,0,2.7,-1218.8,0.0,-1216.9,0.0
4057,SUNY,0,0,3.7,-805.8,0.0,-922.6,0.0
4058,SUNY,0,0,3.3,-1746.5,0.0,-657.4,0.0
4059,SUNY,0,0,4.6,-1226.8,0.0,-1123.9,0.0
4060,SUNY,0,0,2.8,-1148.9,0.0,-990.7,0.0
4061,SUNY,0,0,4.7,-1448.3,0.0,-802.2,0.0
4062,SUNY,0,0,4.3,-1191.0,0.0,-1135.0,0.0
4063,SUNY,0,0,3.5,-1127.1,0.0,-1134.6,0.0
4064,SUNY,0,0,2.0,-774.2,0.0,-1097.4,0.0
4065,SUNY,0,0,5.3,-1122.2,0.0,-1295.6,0.0
4066,SUNY,0,0,5.5,-1166.2,0.0,-792.1,0.0
4067,SUNY,0,0,2.9,-1376.7,0.0,-809.6,0.0
4068,SUNY,0,0,1.6,-1312.0,0.0,-1267.8,0.0
4069,SUNY,0,0,2.1,-833.1,0.0,-830.9,0.0
4070,SUNY,0,0,2.1,-574.8,0.0,-603.4,0.0
4071,SUNY,0,0,3.3,-930.4,0.0,-1020.0,0.0
4072,SUNY,0,0,6.0,-971.6,0.0,-641.6,0.0
4073,SUNY,0,0,5.7,-1087.6,0.0,-1211.1,0.0
4074,SUNY,0,0,0.7,-978.9,0.0,-939.3,0.0
4075,SUNY,0,0,4.2,-1286.5,0.0,-1013.8,0.0
4076,SUNY,0,0,2.8,-866.0,0.0,-813.3,0.0
4077,SUNY,0,0,2.9,-669.8,0.0,-899.8,0.0
4078,SUNY,0,0,2.2,-826.3,0.0,-1214.5,0.0
4079,SUNY,0,0,1.6,-856.9,0.0,-587.2,0.0
4080,SUNY,0,0,4.4,-895.4,0.0,-1000.4,0.0
4081,SUNY,0,0,2.5,-1048.6,0.0,-909.0,0.0
4082,SUNY,0,0,2.1,-1037.7,0.0,-697.2,0.0
4083,SUNY,0,0,1.8,-573.4,0.0,-550.8,0.0
4084,SUNY,0,0,2.4,-759.1,0.0,-747.2,0.0
4085,SUNY,0,0,2.5,-842.8,0.0,-610.2,0.0
4086,SUNY,0,0,0.5,-463.4,0.0,-516.0,0.0
4087,SUNY,0,0,3.3,-870.6,0.0,-696.2,0.0
4088,SUNY,0,0,2.2,-459.0,0.0,-707.8,0.0
4089,SUNY,0,0,2.3,-842.6,0.0,-794.2,0.0
4090,SUNY,0,0,4.6,-784.0,0.0,-501.8,0.0
4091,SUNY,0,0,2.4,-505.0,0.0,-746.4,0.0
4092,SUNY,0,0,1.5,-535.8,0.0,-700.0,0.0
4093,SUNY,0,0,1.6,-668.4,0.0,-724.2,0.0
4094,SUNY,0,0,4.6,-1068.0,0.0,-750.6,0.0
4095,SUNY,0,0,2.4,-1044.2,0.0,-806.2,0.0
4096,SUNY,0,0,3.3,-974.8,0.0,-752.0,0.0
4097,SUNY,0,0,2.3,-516.0,0.0,-399.2,0.0
4098,SUNY,0,0,1.8,-743.4,0.0,-659.7,0.0
4099,SUNY,0,0,1.5,-646.0,0.0,-496.0,0.0
4100,SUNY,0,0,2.4,-823.2,0.0,-375.4,0.0
4101,SUNY,0,0,4.9,-522.0,0.0,-815.6,0.0
4102,SUNY,0,0,1.5,-584.4,0.0,-770.0,0.0
4103,SUNY,0,0,2.4,-446.4,0.0,-649.6,0.0
