,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
0,example,1,1,0.0,-349.2,6.2,-545.8,6.9
1,example,1,1,0.0,-837.8,10.6,-956.4,11.5
2,example,1,1,0.0,-634.6,10.2,-868.1,9.4
3,example,1,1,0.0,-265.2,5.0,-400.0,3.6
4,example,1,1,0.0,-440.3,6.8,-616.2,6.6
5,example,1,1,0.0,-295.8,6.0,-605.2,7.4
6,example,1,1,0.0,-451.1,6.2,-475.6,5.6
7,example,1,1,0.0,-727.1,10.1,-854.1,11.4
8,example,1,1,0.0,-610.1,7.9,-551.6,6.5
9,example,1,1,0.0,-345.7,4.2,-370.2,5.0
10,example,1,1,0.0,-900.4,10.5,-1053.1,11.7
11,example,1,1,0.0,-198.5,4.3,-344.7,6.7
12,example,1,1,0.0,-232.4,4.4,-356.4,5.3
13,example,1,1,0.0,-366.3,5.9,-408.1,4.7
14,example,1,1,0.0,-122.0,2.8,-285.9,3.6
15,example,1,1,0.0,-421.2,5.7,-644.1,6.7
16,example,1,1,0.0,-315.4,4.9,-467.0,5.7
17,example,1,1,0.0,-463.1,6.3,-637.7,7.6
18,example,1,1,0.0,-370.5,4.2,-469.9,5.0
19,example,1,1,0.0,-422.4,6.6,-603.8,6.9
20,example,1,1,0.0,-509.2,7.7,-463.0,5.6
21,example,1,1,0.0,-291.6,3.6,-402.5,5.3
22,example,1,1,0.0,-286.1,6.4,-597.0,5.2
23,example,1,1,0.0,-204.1,3.5,-402.3,5.9
24,example,1,1,0.0,-402.0,6.6,-464.7,5.6
25,example,1,1,0.0,-364.3,5.6,-493.1,7.1
26,example,1,1,0.0,-647.4,9.7,-665.7,10.8
27,example,1,1,0.0,-445.1,6.5,-270.9,4.5
28,example,1,1,0.0,-319.6,5.0,-383.0,3.3
29,example,1,1,0.0,-440.6,7.5,-423.5,6.2
30,example,1,1,0.0,-220.5,4.4,-504.1,7.3
31,example,1,1,0.0,-154.5,3.7,-602.9,8.3
32,example,1,1,0.0,-405.5,8.5,-499.2,6.4
33,example,1,1,0.0,-303.0,4.8,-330.6,6.7
34,example,1,1,0.0,-222.9,4.5,-459.0,5.1
35,example,1,1,0.0,-438.9,6.5,-378.2,4.3
36,example,1,1,0.0,-314.3,5.0,-518.9,6.2
37,example,1,1,0.0,-423.1,7.9,-389.2,4.8
38,example,1,1,0.0,-150.9,3.9,-257.8,2.7
39,example,1,1,0.0,-221.9,3.0,-428.7,5.2
40,example,1,1,0.0,-46.2,2.7,-282.7,4.7
41,example,1,1,0.0,-268.8,5.2,-355.2,5.0
42,example,1,1,0.0,-316.6,6.9,-413.7,6.8
43,example,1,1,0.0,-174.9,3.7,-315.2,4.5
44,example,1,1,0.0,-233.0,3.4,-315.6,3.6
45,example,1,1,0.0,-232.7,5.4,-431.6,7.4
46,example,1,1,0.0,-400.0,5.5,-385.6,5.1
47,example,1,1,0.0,-202.1,4.7,-307.7,4.0
48,example,1,1,0.0,-165.6,4.1,-124.3,1.4
49,example,1,1,0.0,-378.3,5.5,-330.7,4.1
50,example,1,1,0.0,-466.4,6.2,-551.0,8.4
51,example,1,1,0.0,-189.3,3.9,-213.8,2.9
52,example,1,1,0.0,-322.8,5.1,-255.6,3.2
53,example,1,1,0.0,-234.0,4.2,-391.3,4.5
54,example,1,1,0.0,-248.7,5.5,-273.6,4.1
55,example,1,1,0.0,-449.4,8.5,-403.4,6.4
56,example,1,1,0.0,-311.2,6.2,-211.7,4.2
57,example,1,1,0.0,-213.7,4.1,-239.0,3.9
58,example,1,1,0.0,-362.7,6.3,-354.6,6.7
59,example,1,1,0.0,-231.6,4.6,-299.6,6.6
60,example,1,1,0.0,-478.6,6.9,-353.3,5.5
61,example,1,1,0.0,-280.4,6.2,-454.4,5.0
62,example,1,1,0.0,-375.4,8.8,-429.4,6.3
63,example,1,1,0.0,-294.6,3.9,-267.9,3.5
64,example,1,1,0.0,-215.6,3.5,-286.4,3.2
65,example,1,1,0.0,-335.1,5.5,-373.8,6.0
66,example,1,1,0.0,-283.1,4.4,-365.3,5.4
67,example,1,1,0.0,-464.7,6.8,-593.0,8.7
68,example,1,1,0.0,-92.5,2.2,-233.8,3.0
69,example,1,1,0.0,-245.7,5.4,-266.4,4.9
70,example,1,1,0.0,-445.6,9.4,-446.7,7.5
71,example,1,1,0.0,-218.8,4.6,-317.3,3.8
72,example,1,1,0.0,-197.2,3.7,-317.0,2.9
73,example,1,1,0.0,-136.7,4.9,-199.5,2.9
74,example,1,1,0.0,-124.2,2.0,-132.1,2.5
75,example,1,1,0.0,-379.3,7.0,-279.9,4.7
76,example,1,1,0.0,-260.4,3.7,-267.9,3.1
77,example,1,1,0.0,-307.0,4.9,-389.3,4.5
78,example,1,1,0.0,-195.2,4.0,-295.0,4.9
79,example,1,1,0.0,-202.7,5.9,-240.4,4.6
80,example,1,1,0.0,-359.0,6.7,-308.1,5.8
81,example,1,1,0.0,-236.0,4.5,-252.1,3.6
82,example,1,1,0.0,-337.3,7.7,-434.4,6.0
83,example,1,1,0.0,-393.1,6.3,-408.5,8.2
84,example,1,1,0.0,2.0,1.2,-105.0,1.7
85,example,1,1,0.0,-349.3,6.8,-338.5,6.6
86,example,1,1,0.0,-240.4,3.2,-140.5,2.6
87,example,1,1,0.0,-230.0,4.2,-251.2,4.0
88,example,1,1,0.0,-66.6,2.1,-135.5,2.1
89,example,1,1,0.0,-129.2,2.2,-249.5,2.5
90,example,1,1,0.0,-29.7,2.7,-111.3,2.7
91,example,1,1,0.0,-91.5,1.8,-201.9,3.1
92,example,1,1,0.0,-335.8,6.4,-319.1,5.9
93,example,1,1,0.0,-268.3,6.6,-331.3,4.3
94,example,1,1,0.0,-168.9,3.0,-293.9,3.8
95,example,1,1,0.0,-271.2,5.2,-220.3,5.9
96,example,1,1,0.0,-180.4,3.4,-194.3,3.4
97,example,1,1,0.0,-147.3,4.1,-138.9,2.9
98,example,1,1,0.0,-284.4,5.5,-237.6,4.8
99,example,1,1,0.0,-185.2,4.2,-223.2,3.9
100,example,1,1,0.0,-234.5,6.4,-298.2,7.1
101,example,1,1,0.0,-216.2,5.8,-234.6,3.8
102,example,1,1,0.0,-117.4,2.7,-152.5,2.8
103,example,1,1,0.0,-85.3,1.4,-72.7,2.4
104,example,1,1,0.0,-230.4,5.6,-239.7,3.7
105,example,1,1,0.0,-417.9,8.8,-412.7,8.4
106,example,1,1,0.0,-132.6,3.2,-174.4,3.6
107,example,1,1,0.0,-401.6,9.2,-408.5,7.9
108,example,1,1,0.0,-92.3,3.8,-143.4,2.6
109,example,1,1,0.0,-184.3,3.9,-283.8,5.8
110,example,1,1,0.0,-314.6,5.2,-242.5,4.7
111,example,1,1,0.0,-110.3,3.5,-140.9,2.8
112,example,1,1,0.0,-180.4,3.9,-250.4,4.2
113,example,1,1,0.0,-158.3,3.7,-189.7,3.5
114,example,1,1,0.0,-136.0,2.3,-127.1,3.0
115,example,1,1,0.0,-117.8,4.5,-245.1,2.9
116,example,1,1,0.0,-231.3,6.2,-236.9,5.7
117,example,1,1,0.0,-209.7,4.8,-251.5,4.8
118,example,1,1,0.0,-209.7,4.8,-190.1,4.8
119,example,1,1,0.0,-242.1,7.8,-283.0,6.5
120,example,1,1,0.0,-143.6,4.4,-179.0,4.2
121,example,1,1,0.0,-156.2,4.0,-217.8,4.2
122,example,1,1,0.0,-254.9,5.8,-332.1,6.8
123,example,1,1,0.0,-41.7,1.5,-134.2,1.6
124,example,1,1,0.0,-111.9,2.9,-142.1,1.8
125,example,1,1,0.0,-226.1,6.0,-239.4,3.9
126,example,1,1,0.0,-193.5,4.9,-234.5,5.7
127,example,1,1,0.0,-49.0,2.9,-110.9,1.8
128,example,1,1,0.0,-133.9,2.5,-160.4,2.4
129,example,1,1,0.0,-92.5,2.2,-91.1,2.7
130,example,1,1,0.0,-295.7,9.1,-313.2,6.7
131,example,1,1,0.0,-214.7,8.0,-185.4,4.8
132,example,1,1,0.0,-211.2,5.4,-187.3,5.0
133,example,1,1,0.0,-140.8,4.9,-195.8,3.4
