,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
2200,Pentagon,1,1,0.0,-940.5,1.8,-858.2,1.4
2201,Pentagon,1,1,0.0,-1433.1,1.8,-932.0,0.7
2202,Pentagon,1,1,0.0,-870.7,2.2,-1016.9,2.5
2203,Pentagon,1,1,0.0,-1379.5,3.5,-1044.0,1.3
2204,Pentagon,1,1,0.0,-1058.9,3.0,-906.4,3.1
2205,Pentagon,1,1,0.0,-1642.3,1.4,-939.2,1.7
2206,Pentagon,1,1,0.0,-1503.1,1.9,-754.3,0.8
2207,Pentagon,1,1,0.0,-1427.9,3.0,-1078.4,2.7
2208,Pentagon,1,1,0.0,-1312.6,2.9,-1052.9,2.8
2209,Pentagon,1,1,0.0,-1307.6,2.2,-1000.3,1.7
2210,Pentagon,1,1,0.0,-1020.6,3.1,-584.6,0.9
2211,Pentagon,1,1,0.0,-1153.5,2.9,-799.4,1.6
2212,Pentagon,1,1,0.0,-193.2,1.9,-700.9,1.7
2213,Pentagon,1,1,0.0,-1464.1,5.5,-1042.1,2.3
2214,Pentagon,1,1,0.0,-1179.5,2.7,-435.7,1.4
2215,Pentagon,1,1,0.0,-1617.3,3.1,-646.6,1.5
2216,Pentagon,1,1,0.0,-997.9,2.1,-410.4,1.7
2217,Pentagon,1,1,0.0,-1172.2,2.9,-487.2,1.3
2218,Pentagon,1,1,0.0,-1312.8,3.5,-324.8,1.6
2219,Pentagon,1,1,0.0,-882.7,2.4,-1184.1,1.8
2220,Pentagon,1,1,0.0,-1062.4,2.1,-773.9,1.9
2221,Pentagon,1,1,0.0,-932.5,2.4,-1114.4,1.5
2222,Pentagon,1,1,0.0,-686.9,1.7,-1021.0,2.3
2223,Pentagon,1,1,0.0,-915.7,2.2,-809.8,2.1
2224,Pentagon,1,1,0.0,-661.0,3.7,-355.4,2.6
2225,Pentagon,1,1,0.0,-1374.1,5.6,-479.8,2.1
