,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
5200,SUNY,1,1,0.0,-1112.8,3.3,-1082.3,4.4
5201,SUNY,1,1,0.0,-1339.8,3.2,-1224.2,2.9
5202,SUNY,1,1,0.0,-1530.5,3.7,-1236.1,4.0
5203,SUNY,1,1,0.0,-1092.1,3.9,-1059.0,3.9
5204,SUNY,1,1,0.0,-1498.6,5.3,-1285.0,3.8
5205,SUNY,1,1,0.0,-1661.5,2.9,-1439.7,3.2
5206,SUNY,1,1,0.0,-971.9,3.6,-896.4,1.6
5207,SUNY,1,1,0.0,-1175.4,4.3,-1322.8,4.9
5208,SUNY,1,1,0.0,-1625.7,2.6,-1397.1,2.4
5209,SUNY,1,1,0.0,-1236.2,2.9,-1294.4,2.2
5210,SUNY,1,1,0.0,-1294.8,4.7,-1067.4,3.7
5211,SUNY,1,1,0.0,-1050.0,1.3,-1365.4,2.1
5212,SUNY,1,1,0.0,-1282.6,2.2,-1401.7,3.0
5213,SUNY,1,1,0.0,-1399.0,1.1,-1346.7,2.0
5214,SUNY,1,1,0.0,-1370.5,4.5,-1276.3,5.1
5215,SUNY,1,1,0.0,-988.6,0.8,-951.0,1.9
5216,SUNY,1,1,0.0,-1394.5,4.1,-1270.7,5.1
5217,SUNY,1,1,0.0,-1203.2,4.8,-1115.9,4.0
5218,SUNY,1,1,0.0,-1150.4,2.8,-1087.0,2.5
5219,SUNY,1,1,0.0,-1171.8,4.6,-1312.6,3.9
5220,SUNY,1,1,0.0,-983.1,5.4,-1248.1,5.5
5221,SUNY,1,1,0.0,-1375.7,2.1,-1171.1,3.4
5222,SUNY,1,1,0.0,-1557.2,3.0,-1265.1,2.9
5223,SUNY,1,1,0.0,-1522.5,4.0,-996.4,3.4
5224,SUNY,1,1,0.0,-1159.6,2.4,-1167.8,1.9
5225,SUNY,1,1,0.0,-951.3,3.2,-1358.2,3.5
5226,SUNY,1,1,0.0,-1390.7,3.6,-973.6,3.0
5227,SUNY,1,1,0.0,-1358.4,3.0,-1108.9,1.9
5228,SUNY,1,1,0.0,-1134.3,2.0,-975.3,1.7
5229,SUNY,1,1,0.0,-929.2,4.1,-850.8,5.1
5230,SUNY,1,1,0.0,-1031.4,3.4,-1126.5,4.6
5231,SUNY,1,1,0.0,-835.8,1.7,-659.0,1.6
5232,SUNY,1,1,0.0,-1293.3,4.6,-1105.8,4.2
5233,SUNY,1,1,0.0,-902.2,4.2,-1200.7,5.1
5234,SUNY,1,1,0.0,-1293.2,5.1,-985.2,3.8
5235,SUNY,1,1,0.0,-1262.9,3.1,-1299.8,4.4
5236,SUNY,1,1,0.0,-771.4,4.6,-1291.6,5.2
5237,SUNY,1,1,0.0,-1412.9,1.8,-1127.3,2.2
5238,SUNY,1,1,0.0,-745.0,2.9,-624.0,4.3
5239,SUNY,1,1,0.0,-1248.1,2.7,-1351.4,3.4
5240,SUNY,1,1,0.0,-1150.5,1.6,-1256.0,2.1
5241,SUNY,1,1,0.0,-907.0,3.4,-933.0,4.0
5242,SUNY,1,1,0.0,-1023.2,3.9,-1306.4,4.0
5243,SUNY,1,1,0.0,-913.5,3.3,-552.4,3.5
5244,SUNY,1,1,0.0,-1018.4,2.6,-1127.3,3.1
5245,SUNY,1,1,0.0,-835.5,1.9,-577.0,1.7
5246,SUNY,1,1,0.0,-968.2,2.9,-664.5,3.3
5247,SUNY,1,1,0.0,-613.7,3.4,-1044.3,4.2
5248,SUNY,1,1,0.0,-1070.6,3.4,-1283.2,3.7
5249,SUNY,1,1,0.0,-1370.7,2.2,-659.8,3.0
5250,SUNY,1,1,0.0,-925.6,2.2,-952.9,2.6
5251,SUNY,1,1,0.0,-547.7,1.8,-728.0,1.8
5252,SUNY,1,1,0.0,-1080.7,4.5,-897.9,4.6
5253,SUNY,1,1,0.0,-1190.7,2.3,-650.5,2.3
5254,SUNY,1,1,0.0,-1058.3,4.7,-1118.3,4.2
5255,SUNY,1,1,0.0,-815.4,2.4,-1247.6,3.0
5256,SUNY,1,1,0.0,-846.2,1.9,-534.2,2.7
5257,SUNY,1,1,0.0,-853.6,2.7,-967.2,3.8
5258,SUNY,1,1,0.0,-872.6,3.6,-655.6,3.0
5259,SUNY,1,1,0.0,-609.6,2.8,-535.9,2.0
5260,SUNY,1,1,0.0,-898.9,2.0,-652.8,1.8
5261,SUNY,1,1,0.0,-928.6,3.4,-1152.3,3.3
5262,SUNY,1,1,0.0,-758.9,1.7,-827.3,2.1
5263,SUNY,1,1,0.0,-449.2,0.9,-651.9,0.2
5264,SUNY,1,1,0.0,-1132.8,3.1,-1171.9,3.8
5265,SUNY,1,1,0.0,-579.4,2.4,-616.4,1.9
5266,SUNY,1,1,0.0,-880.1,1.5,-513.9,2.8
5267,SUNY,1,1,0.0,-743.2,2.9,-1122.3,3.1
5268,SUNY,1,1,0.0,-960.6,2.4,-1002.2,2.1
5269,SUNY,1,1,0.0,-697.0,4.6,-751.7,4.8
5270,SUNY,1,1,0.0,-1024.6,1.8,-641.3,1.8
5271,SUNY,1,1,0.0,-805.4,2.6,-491.2,3.7
5272,SUNY,1,1,0.0,-808.2,2.2,-611.5,1.5
