,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
1400,ISR,1,1,0.0,-1476.8,6.5,-1650.7,5.2
1401,ISR,1,1,0.0,-782.5,2.4,-870.1,3.5
1402,ISR,1,1,0.0,-996.9,2.4,-853.3,4.9
1403,ISR,1,1,0.0,-982.3,1.5,-1037.3,1.6
1404,ISR,1,1,0.0,-1539.6,4.6,-1205.9,6.1
1405,ISR,1,1,0.0,-1341.9,3.1,-1100.0,1.9
1406,ISR,1,1,0.0,-1133.5,2.7,-1120.4,1.4
1407,ISR,1,1,0.0,-867.0,1.6,-1018.0,2.1
1408,ISR,1,1,0.0,-1391.1,4.2,-907.0,3.7
1409,ISR,1,1,0.0,-1340.7,2.6,-715.7,1.6
1410,ISR,1,1,0.0,-1140.4,4.0,-1279.8,4.5
1411,ISR,1,1,0.0,-877.3,2.4,-1417.6,4.6
1412,ISR,1,1,0.0,-827.7,1.8,-1106.4,2.1
1413,ISR,1,1,0.0,-906.8,0.7,-1660.7,1.6
1414,ISR,1,1,0.0,-1244.5,4.3,-1322.6,3.9
1415,ISR,1,1,0.0,-682.7,3.1,-826.8,4.4
1416,ISR,1,1,0.0,-703.4,2.4,-985.4,2.1
1417,ISR,1,1,0.0,-1033.6,2.5,-470.9,2.5
1418,ISR,1,1,0.0,-803.3,1.1,-903.2,3.1
1419,ISR,1,1,0.0,-465.3,1.6,-830.4,2.9
1420,ISR,1,1,0.0,-883.3,3.3,-1066.6,3.7
1421,ISR,1,1,0.0,-571.2,1.7,-448.9,2.8
1422,ISR,1,1,0.0,-425.7,2.6,-1034.1,3.1
1423,ISR,1,1,0.0,-1085.3,2.8,-988.8,3.3
1424,ISR,1,1,0.0,-566.6,1.5,-1597.7,3.7
1425,ISR,1,1,0.0,-601.1,2.8,-554.4,1.9
1426,ISR,1,1,0.0,-700.6,2.4,-1338.5,4.4
1427,ISR,1,1,0.0,-808.3,1.3,-288.9,1.0
1428,ISR,1,1,0.0,-566.4,1.3,-871.6,2.3
1429,ISR,1,1,0.0,-895.6,1.3,-673.3,2.6
1430,ISR,1,1,0.0,-1226.1,3.3,-959.5,3.0
1431,ISR,1,1,0.0,-635.8,1.7,-522.3,2.7
1432,ISR,1,1,0.0,-713.4,2.2,-839.9,3.3
1433,ISR,1,1,0.0,-986.9,3.7,-970.5,2.9
1434,ISR,1,1,0.0,-1406.8,4.4,-803.5,4.0
1435,ISR,1,1,0.0,-552.9,1.6,-994.8,3.2
1436,ISR,1,1,0.0,-1156.3,2.7,-263.3,3.3
1437,ISR,1,1,0.0,-673.8,2.7,-846.7,3.9
1438,ISR,1,1,0.0,-289.8,1.9,-775.0,5.7
1439,ISR,1,1,0.0,-611.1,2.2,-299.6,2.4
1440,ISR,1,1,0.0,-710.8,2.0,-860.4,2.1
1441,ISR,1,1,0.0,-763.0,2.1,-654.3,1.8
1442,ISR,1,1,0.0,-922.3,1.8,-650.7,3.1
1443,ISR,1,1,0.0,-771.0,2.9,-893.0,4.4
1444,ISR,1,1,0.0,-696.6,3.0,-950.5,2.7
1445,ISR,1,1,0.0,-1029.6,2.9,-550.0,2.9
1446,ISR,1,1,0.0,-432.4,0.8,-299.0,1.0
1447,ISR,1,1,0.0,-553.6,1.9,-690.7,1.4
1448,ISR,1,1,0.0,-860.1,2.0,-532.4,2.4
1449,ISR,1,1,0.0,-540.2,3.1,-509.8,2.8
1450,ISR,1,1,0.0,-445.0,2.4,-856.3,4.4
1451,ISR,1,1,0.0,-286.8,1.4,-856.7,4.4
1452,ISR,1,1,0.0,-887.3,2.8,-963.4,2.2
1453,ISR,1,1,0.0,-561.3,1.8,-661.2,3.1
1454,ISR,1,1,0.0,-897.8,2.5,-320.8,2.8
1455,ISR,1,1,0.0,-425.5,2.9,-766.4,3.4
1456,ISR,1,1,0.0,-860.6,3.5,-472.0,2.1
1457,ISR,1,1,0.0,-724.8,2.9,-852.7,2.6
1458,ISR,1,1,0.0,-728.0,2.2,-498.4,2.7
1459,ISR,1,1,0.0,-702.9,4.3,-584.9,5.1
1460,ISR,1,1,0.0,-703.7,2.0,-710.6,1.5
1461,ISR,1,1,0.0,-189.1,2.6,-374.2,2.3
1462,ISR,1,1,0.0,-178.1,2.5,-433.6,3.1
1463,ISR,1,1,0.0,-345.0,1.9,-436.2,1.7
1464,ISR,1,1,0.0,-832.5,2.7,-604.6,2.4
1465,ISR,1,1,0.0,-730.0,3.2,-547.9,3.2
1466,ISR,1,1,0.0,-679.4,3.2,-495.3,3.7
1467,ISR,1,1,0.0,-693.9,3.4,-543.6,2.7
1468,ISR,1,1,0.0,-432.5,1.7,-654.5,4.2
1469,ISR,1,1,0.0,-646.4,2.8,-465.6,1.9
1470,ISR,1,1,0.0,-928.5,1.6,-446.6,1.9
1471,ISR,1,1,0.0,-346.9,1.5,-491.2,2.4
1472,ISR,1,1,0.0,-323.8,1.6,-212.7,2.1
1473,ISR,1,1,0.0,-353.3,2.1,-354.6,1.9
1474,ISR,1,1,0.0,-327.5,2.8,-389.3,2.2
1475,ISR,1,1,0.0,-210.9,1.8,-470.7,2.3
1476,ISR,1,1,0.0,-399.2,1.3,-902.2,2.8
1477,ISR,1,1,0.0,-176.7,1.9,-266.9,2.7
1478,ISR,1,1,0.0,-745.3,1.2,-361.5,2.5
1479,ISR,1,1,0.0,-218.4,3.7,-483.5,3.7
1480,ISR,1,1,0.0,-382.5,1.6,-434.4,2.7
1481,ISR,1,1,0.0,-608.3,2.1,-688.0,2.2
1482,ISR,1,1,0.0,-337.1,1.7,-643.7,2.0
1483,ISR,1,1,0.0,-526.6,2.8,-423.5,3.7
1484,ISR,1,1,0.0,-268.4,2.4,-661.3,2.5
1485,ISR,1,1,0.0,-582.2,3.1,-365.0,2.8
1486,ISR,1,1,0.0,-654.3,2.1,-454.3,1.6
1487,ISR,1,1,0.0,-427.2,2.0,-370.7,2.5
1488,ISR,1,1,0.0,-723.3,3.5,-460.7,3.5
1489,ISR,1,1,0.0,-306.6,1.8,-138.7,3.2
1490,ISR,1,1,0.0,-96.2,1.6,-284.9,2.8
1491,ISR,1,1,0.0,-242.6,2.7,-253.2,1.0
1492,ISR,1,1,0.0,-290.4,2.1,-666.8,2.3
1493,ISR,1,1,0.0,-344.7,3.1,-517.7,5.4
1494,ISR,1,1,0.0,-483.9,2.7,-210.1,1.8
1495,ISR,1,1,0.0,-343.0,3.1,-434.5,3.4
1496,ISR,1,1,0.0,-332.7,2.2,-325.0,2.5
1497,ISR,1,1,0.0,-286.1,2.6,-388.9,3.5
1498,ISR,1,1,0.0,-344.3,4.0,-715.2,5.2
1499,ISR,1,1,0.0,-479.3,2.2,-288.4,2.9
1500,ISR,1,1,0.0,-374.3,1.1,-646.5,1.5
1501,ISR,1,1,0.0,-243.0,2.6,-387.4,2.3
1502,ISR,1,1,0.0,-247.3,1.9,-153.0,2.9
1503,ISR,1,1,0.0,-291.5,1.7,-321.6,1.6
1504,ISR,1,1,0.0,-281.9,1.9,-372.4,4.0
1505,ISR,1,1,0.0,-104.5,2.3,-454.5,3.8
1506,ISR,1,1,0.0,-133.2,2.3,-158.9,2.1
1507,ISR,1,1,0.0,-108.9,1.8,-352.6,2.5
1508,ISR,1,1,0.0,-479.6,2.8,-335.0,3.0
1509,ISR,1,1,0.0,-424.5,2.4,-242.0,2.2
1510,ISR,1,1,0.0,-311.4,2.3,-253.9,3.3
1511,ISR,1,1,0.0,-352.4,3.6,-434.0,2.2
1512,ISR,1,1,0.0,-165.0,2.4,-514.8,1.7
1513,ISR,1,1,0.0,-231.1,2.2,-288.9,3.2
1514,ISR,1,1,0.0,-256.2,3.0,-251.0,4.1
1515,ISR,1,1,0.0,-209.0,2.8,-479.2,3.0
1516,ISR,1,1,0.0,-64.6,0.3,-400.8,2.2
1517,ISR,1,1,0.0,-332.6,2.5,-135.7,2.7
1518,ISR,1,1,0.0,-304.2,2.6,-263.0,2.9
1519,ISR,1,1,0.0,-173.7,2.6,-412.9,2.9
1520,ISR,1,1,0.0,-163.7,1.1,-249.7,1.3
1521,ISR,1,1,0.0,-295.2,2.3,-398.1,3.6
1522,ISR,1,1,0.0,-220.5,2.3,-232.7,2.5
1523,ISR,1,1,0.0,-106.4,1.7,-596.4,2.6
1524,ISR,1,1,0.0,-241.0,2.6,-516.9,4.7
1525,ISR,1,1,0.0,-316.2,3.6,-441.2,2.9
1526,ISR,1,1,0.0,-289.8,3.1,-132.9,2.8
1527,ISR,1,1,0.0,-290.3,1.7,-161.2,3.7
1528,ISR,1,1,0.0,-94.9,1.7,-220.2,2.8
1529,ISR,1,1,0.0,-336.6,1.9,-259.9,2.5
1530,ISR,1,1,0.0,-81.3,2.0,-330.8,1.5
1531,ISR,1,1,0.0,-231.9,3.8,-505.9,3.9
1532,ISR,1,1,0.0,-140.6,2.7,-251.1,2.7
1533,ISR,1,1,0.0,-158.1,2.4,-282.8,3.7
1534,ISR,1,1,0.0,-68.5,1.5,-262.1,2.8
1535,ISR,1,1,0.0,-67.4,1.3,-234.6,1.9
1536,ISR,1,1,0.0,-132.9,2.6,-386.0,2.2
1537,ISR,1,1,0.0,-192.9,1.8,-218.7,3.3
1538,ISR,1,1,0.0,-18.7,0.9,-301.0,2.3
1539,ISR,1,1,0.0,-144.8,1.0,-479.0,5.3
1540,ISR,1,1,0.0,-180.5,2.5,-366.5,3.9
1541,ISR,1,1,0.0,-155.5,1.9,-161.6,2.2
1542,ISR,1,1,0.0,-104.9,1.8,-214.4,2.7
1543,ISR,1,1,0.0,-113.3,1.7,-215.6,2.4
1544,ISR,1,1,0.0,-174.4,3.5,-384.7,1.9
1545,ISR,1,1,0.0,-125.4,2.5,-449.6,4.1
1546,ISR,1,1,0.0,-228.5,1.8,-221.6,1.4
1547,ISR,1,1,0.0,-283.9,1.5,-425.6,2.7
1548,ISR,1,1,0.0,-58.5,2.2,-206.0,2.3
1549,ISR,1,1,0.0,-133.4,2.6,-196.6,3.8
1550,ISR,1,1,0.0,-182.3,2.5,-267.1,2.4
1551,ISR,1,1,0.0,-123.6,2.3,-347.6,2.2
1552,ISR,1,1,0.0,-209.4,3.0,-172.2,3.3
1553,ISR,1,1,0.0,-221.8,2.3,-108.0,2.1
1554,ISR,1,1,0.0,-99.3,3.0,-78.9,2.2
1555,ISR,1,1,0.0,-68.9,1.4,-85.3,2.6
1556,ISR,1,1,0.0,-113.9,1.0,-178.4,1.9
1557,ISR,1,1,0.0,-192.8,1.6,-233.2,1.8
1558,ISR,1,1,0.0,-144.8,1.8,-89.5,2.4
1559,ISR,1,1,0.0,-131.6,1.6,-97.0,2.4
1560,ISR,1,1,0.0,-199.6,2.4,-138.5,3.2
1561,ISR,1,1,0.0,-387.7,1.5,-160.9,1.4
1562,ISR,1,1,0.0,-266.1,1.2,-18.1,2.2
1563,ISR,1,1,0.0,-180.4,2.2,-148.7,1.7
1564,ISR,1,1,0.0,-177.0,2.7,-293.1,3.7
1565,ISR,1,1,0.0,-158.1,1.9,-158.1,3.4
1566,ISR,1,1,0.0,-130.8,1.9,-164.3,2.7
1567,ISR,1,1,0.0,-87.1,1.3,-140.0,1.9
1568,ISR,1,1,0.0,-50.9,1.1,-160.9,1.8
1569,ISR,1,1,0.0,-126.2,1.3,-212.1,2.5
1570,ISR,1,1,0.0,-135.9,2.2,-189.2,1.2
1571,ISR,1,1,0.0,-313.5,2.0,-195.5,3.4
1572,ISR,1,1,0.0,-194.8,2.2,-176.9,3.9
1573,ISR,1,1,0.0,8.5,2.3,-158.6,3.6
1574,ISR,1,1,0.0,-166.0,1.9,-159.2,2.0
1575,ISR,1,1,0.0,-194.7,2.8,-90.9,3.1
1576,ISR,1,1,0.0,-79.7,1.9,-192.5,1.8
1577,ISR,1,1,0.0,-292.9,3.6,-124.9,2.3
1578,ISR,1,1,0.0,-146.6,1.9,-283.8,2.5
1579,ISR,1,1,0.0,-177.2,3.1,-284.0,3.0
1580,ISR,1,1,0.0,-13.5,0.8,-61.9,1.7
1581,ISR,1,1,0.0,-34.7,1.9,-109.2,2.7
1582,ISR,1,1,0.0,-120.6,2.0,-98.5,3.2
1583,ISR,1,1,0.0,-92.3,1.8,-187.1,1.7
