,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
4200,MIT,1,1,0.0,-1974.0,3.0,-2169.4,2.0
4201,MIT,1,1,0.0,-2045.7,3.0,-2212.7,3.5
4202,MIT,1,1,0.0,-1890.4,0.7,-2136.9,0.7
4203,MIT,1,1,0.0,-1985.3,2.6,-1947.6,3.7
4204,MIT,1,1,0.0,-2077.7,2.1,-2086.6,1.6
4205,MIT,1,1,0.0,-1934.1,4.4,-2095.3,4.4
4206,MIT,1,1,0.0,-2175.8,3.1,-2251.4,2.5
4207,MIT,1,1,0.0,-2130.2,1.6,-2053.9,1.4
4208,MIT,1,1,0.0,-1762.6,1.1,-1975.1,1.6
4209,MIT,1,1,0.0,-2192.0,2.0,-1671.1,1.9
4210,MIT,1,1,0.0,-2083.8,1.0,-2140.1,1.4
4211,MIT,1,1,0.0,-2139.8,2.3,-2240.1,3.3
4212,MIT,1,1,0.0,-2156.0,2.0,-2170.4,1.1
4213,MIT,1,1,0.0,-2123.9,2.8,-2137.4,3.3
4214,MIT,1,1,0.0,-2122.4,1.9,-2003.7,2.4
4215,MIT,1,1,0.0,-1923.9,2.7,-2243.3,2.3
4216,MIT,1,1,0.0,-2014.8,1.7,-2115.5,3.3
4217,MIT,1,1,0.0,-1958.7,3.0,-2126.0,2.2
4218,MIT,1,1,0.0,-2019.7,2.3,-2124.4,2.9
4219,MIT,1,1,0.0,-2168.5,1.4,-2012.6,1.7
4220,MIT,1,1,0.0,-1798.0,1.1,-2091.6,1.9
4221,MIT,1,1,0.0,-2152.4,1.1,-1912.5,2.2
4222,MIT,1,1,0.0,-2108.5,1.4,-1937.2,0.8
4223,MIT,1,1,0.0,-1823.7,2.0,-2049.4,2.6
4224,MIT,1,1,0.0,-2075.5,2.3,-2060.0,1.6
4225,MIT,1,1,0.0,-1960.8,3.0,-2138.0,2.5
4226,MIT,1,1,0.0,-1862.6,1.3,-2146.6,1.8
4227,MIT,1,1,0.0,-2152.4,4.2,-2052.6,2.9
4228,MIT,1,1,0.0,-1916.7,3.0,-1888.2,2.6
4229,MIT,1,1,0.0,-2018.7,1.0,-1963.4,1.6
4230,MIT,1,1,0.0,-1918.0,1.6,-1755.7,1.6
4231,MIT,1,1,0.0,-1827.3,2.0,-1986.9,1.8
4232,MIT,1,1,0.0,-1889.6,1.2,-1860.2,0.6
4233,MIT,1,1,0.0,-1990.0,3.1,-1965.2,4.0
4234,MIT,1,1,0.0,-2087.1,1.6,-2033.1,2.8
4235,MIT,1,1,0.0,-1966.8,1.4,-1870.8,2.7
4236,MIT,1,1,0.0,-1861.9,2.3,-1968.5,1.9
4237,MIT,1,1,0.0,-1983.9,1.9,-1906.3,3.4
4238,MIT,1,1,0.0,-2068.0,4.5,-1862.1,2.7
4239,MIT,1,1,0.0,-1970.0,0.9,-2142.5,1.5
4240,MIT,1,1,0.0,-1861.4,4.7,-1971.8,3.9
4241,MIT,1,1,0.0,-1853.6,3.1,-1867.0,3.4
4242,MIT,1,1,0.0,-1787.6,1.9,-1881.5,2.3
4243,MIT,1,1,0.0,-1985.3,2.9,-1923.5,2.0
4244,MIT,1,1,0.0,-1769.3,1.8,-1880.4,1.0
4245,MIT,1,1,0.0,-1672.8,3.6,-1919.6,3.0
4246,MIT,1,1,0.0,-1935.3,2.9,-1599.1,3.0
4247,MIT,1,1,0.0,-1638.3,2.8,-1626.2,2.5
4248,MIT,1,1,0.0,-1737.2,2.7,-1862.4,0.7
4249,MIT,1,1,0.0,-1916.8,6.1,-1888.4,5.7
4250,MIT,1,1,0.0,-1995.4,4.3,-1822.0,4.8
4251,MIT,1,1,0.0,-1668.6,2.1,-1955.3,2.8
4252,MIT,1,1,0.0,-1818.9,1.4,-1706.3,1.3
4253,MIT,1,1,0.0,-1704.9,2.4,-1611.7,2.4
4254,MIT,1,1,0.0,-1651.7,2.2,-2038.9,2.6
4255,MIT,1,1,0.0,-1910.0,2.1,-1681.0,2.4
4256,MIT,1,1,0.0,-1532.6,2.2,-1725.7,3.6
4257,MIT,1,1,0.0,-1909.9,2.9,-1767.1,2.2
4258,MIT,1,1,0.0,-1629.3,2.2,-1941.1,1.6
4259,MIT,1,1,0.0,-1632.9,2.3,-1509.8,1.4
4260,MIT,1,1,0.0,-1852.2,1.5,-1632.1,3.2
4261,MIT,1,1,0.0,-1377.2,2.2,-1830.3,2.0
4262,MIT,1,1,0.0,-2156.0,3.3,-1891.0,5.2
4263,MIT,1,1,0.0,-1448.1,2.3,-1804.1,3.1
4264,MIT,1,1,0.0,-1491.6,1.8,-1590.9,3.0
4265,MIT,1,1,0.0,-1797.6,3.2,-1854.5,3.3
4266,MIT,1,1,0.0,-1592.3,3.7,-1463.1,4.6
4267,MIT,1,1,0.0,-1497.6,2.3,-1326.7,2.0
4268,MIT,1,1,0.0,-1423.2,2.1,-1487.3,3.5
4269,MIT,1,1,0.0,-1871.6,6.2,-1764.9,6.6
4270,MIT,1,1,0.0,-1700.8,3.2,-1421.3,3.3
4271,MIT,1,1,0.0,-1672.4,2.3,-1606.6,2.1
4272,MIT,1,1,0.0,-1699.4,2.7,-1553.9,3.3
4273,MIT,1,1,0.0,-1953.3,2.1,-1445.8,2.3
4274,MIT,1,1,0.0,-1269.7,1.8,-1393.4,2.4
4275,MIT,1,1,0.0,-1384.8,2.9,-1763.3,2.5
4276,MIT,1,1,0.0,-1681.9,3.9,-1630.0,3.0
4277,MIT,1,1,0.0,-1418.2,2.8,-1673.4,4.6
4278,MIT,1,1,0.0,-1645.6,6.4,-1402.4,4.1
4279,MIT,1,1,0.0,-1402.1,2.5,-1672.5,2.4
4280,MIT,1,1,0.0,-1512.0,1.4,-1398.2,1.4
4281,MIT,1,1,0.0,-1647.6,2.0,-1491.0,2.4
4282,MIT,1,1,0.0,-1523.0,1.9,-1602.7,2.5
4283,MIT,1,1,0.0,-1401.4,2.3,-1283.0,3.5
4284,MIT,1,1,0.0,-1177.7,3.2,-1899.7,4.4
4285,MIT,1,1,0.0,-1488.6,2.1,-1181.4,1.5
4286,MIT,1,1,0.0,-1769.8,2.3,-1425.2,3.1
4287,MIT,1,1,0.0,-1336.4,2.4,-1265.0,1.7
4288,MIT,1,1,0.0,-1741.3,1.3,-1425.8,1.3
4289,MIT,1,1,0.0,-1609.2,3.9,-1408.7,4.9
4290,MIT,1,1,0.0,-1498.1,5.0,-1378.5,3.9
4291,MIT,1,1,0.0,-1620.5,3.9,-1519.9,3.9
4292,MIT,1,1,0.0,-1578.3,3.2,-1189.0,3.1
4293,MIT,1,1,0.0,-1525.4,2.6,-1363.4,2.1
4294,MIT,1,1,0.0,-1146.9,1.3,-1359.8,1.6
4295,MIT,1,1,0.0,-1375.1,3.2,-1241.7,3.2
4296,MIT,1,1,0.0,-1142.0,2.9,-1462.1,2.9
4297,MIT,1,1,0.0,-1524.4,4.1,-1220.0,4.1
4298,MIT,1,1,0.0,-1584.4,3.4,-1882.5,4.1
4299,MIT,1,1,0.0,-1356.9,1.9,-1351.9,1.9
4300,MIT,1,1,0.0,-1490.4,2.5,-1375.5,2.1
4301,MIT,1,1,0.0,-1215.3,1.2,-1581.7,2.2
4302,MIT,1,1,0.0,-1425.0,4.5,-1249.5,5.4
4303,MIT,1,1,0.0,-1064.8,1.4,-1457.5,2.5
4304,MIT,1,1,0.0,-1210.6,2.0,-1237.2,1.8
4305,MIT,1,1,0.0,-1068.4,2.6,-1117.2,1.7
4306,MIT,1,1,0.0,-1107.9,3.8,-1073.4,2.6
4307,MIT,1,1,0.0,-1086.0,3.1,-1197.9,2.7
4308,MIT,1,1,0.0,-1563.8,2.7,-1551.6,3.4
4309,MIT,1,1,0.0,-1298.3,3.1,-1429.3,2.5
4310,MIT,1,1,0.0,-958.1,1.6,-1511.1,2.7
4311,MIT,1,1,0.0,-1262.7,2.2,-1114.0,2.0
4312,MIT,1,1,0.0,-932.7,1.3,-1092.0,1.0
4313,MIT,1,1,0.0,-1295.4,2.1,-1315.5,2.8
4314,MIT,1,1,0.0,-1112.4,2.0,-1309.1,1.9
4315,MIT,1,1,0.0,-1616.7,3.0,-1181.5,2.3
4316,MIT,1,1,0.0,-1166.3,4.2,-1097.0,5.4
4317,MIT,1,1,0.0,-1433.5,3.4,-1575.4,4.5
4318,MIT,1,1,0.0,-1137.3,0.6,-766.5,1.1
4319,MIT,1,1,0.0,-1064.4,4.0,-1100.6,4.0
4320,MIT,1,1,0.0,-1047.3,2.3,-1306.6,1.8
4321,MIT,1,1,0.0,-1018.6,3.3,-1547.7,3.0
4322,MIT,1,1,0.0,-1055.8,2.2,-1134.7,2.0
4323,MIT,1,1,0.0,-1186.8,1.9,-990.4,2.0
4324,MIT,1,1,0.0,-1194.6,3.4,-1299.1,1.8
4325,MIT,1,1,0.0,-976.9,2.2,-1106.9,2.2
4326,MIT,1,1,0.0,-1057.3,1.9,-1013.1,1.7
4327,MIT,1,1,0.0,-1103.8,2.2,-1244.8,2.5
4328,MIT,1,1,0.0,-963.7,1.3,-804.3,1.8
4329,MIT,1,1,0.0,-1197.1,2.0,-1168.5,1.9
4330,MIT,1,1,0.0,-1093.1,3.3,-1205.1,3.7
4331,MIT,1,1,0.0,-1002.9,1.8,-1410.0,2.8
4332,MIT,1,1,0.0,-1098.8,2.0,-1025.0,2.7
