,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
0,example,1,1,0.0,-976.8,6.4,-972.4,8.7
1,example,1,1,0.0,-545.2,5.9,-1026.6,7.2
2,example,1,1,0.0,-564.2,6.4,-788.6,6.9
3,example,1,1,0.0,-707.8,3.9,-678.8,4.4
4,example,1,1,0.0,-818.2,6.0,-597.6,4.7
5,example,1,1,0.0,-840.0,5.8,-616.2,4.2
6,example,1,1,0.0,-433.8,4.6,-746.8,5.3
7,example,1,1,0.0,-581.4,5.7,-686.0,6.7
8,example,1,1,0.0,-947.4,9.5,-872.2,7.9
9,example,1,1,0.0,-1011.6,10.2,-799.6,7.2
10,example,1,1,0.0,-454.4,4.0,-1037.4,4.8
11,example,1,1,0.0,-1118.0,9.0,-1034.6,8.6
12,example,1,1,0.0,-458.8,5.2,-629.6,6.4
13,example,1,1,0.0,-628.0,6.9,-737.2,6.7
14,example,1,1,0.0,-416.0,5.7,-580.6,5.9
15,example,1,1,0.0,-571.6,5.3,-909.8,9.0
16,example,1,1,0.0,-957.1,8.7,-1120.2,9.8
17,example,1,1,0.0,-909.8,6.8,-660.0,5.9
18,example,1,1,0.0,-460.2,5.0,-676.8,6.1
19,example,1,1,0.0,-695.6,6.5,-589.6,3.9
20,example,1,1,0.0,-463.2,5.2,-778.6,5.1
21,example,1,1,0.0,-609.2,5.3,-671.6,5.5
22,example,1,1,0.0,-624.6,5.7,-691.6,4.1
23,example,1,1,0.0,-496.4,4.7,-739.6,6.4
24,example,1,1,0.0,-480.0,5.2,-529.8,4.6
25,example,1,1,0.0,-502.8,4.2,-677.6,5.5
26,example,1,1,0.0,-554.4,7.7,-874.6,6.7
27,example,1,1,0.0,-413.4,3.4,-415.4,3.2
28,example,1,1,0.0,-600.4,7.2,-771.2,7.2
29,example,1,1,0.0,-589.6,5.2,-876.0,7.6
30,example,1,1,0.0,-392.4,2.5,-589.2,3.4
31,example,1,1,0.0,-181.0,1.2,-290.6,2.7
32,example,1,1,0.0,-159.2,2.1,-439.0,2.5
33,example,1,1,0.0,-871.0,7.3,-805.0,6.1
34,example,1,1,0.0,-554.4,5.7,-665.6,5.4
35,example,1,1,0.0,-254.0,3.1,-488.2,2.4
36,example,1,1,0.0,-457.2,5.9,-530.8,4.1
37,example,1,1,0.0,-541.0,6.9,-626.2,5.2
38,example,1,1,0.0,-653.2,6.9,-991.8,6.9
39,example,1,1,0.0,-670.2,6.2,-837.2,7.1
40,example,1,1,0.0,-439.6,3.9,-362.2,3.6
41,example,1,1,0.0,-629.4,5.3,-726.0,6.5
