,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
1000,ISR,1,1,0.0,-2097.2,39.9,-2199.6,70.1
1001,ISR,1,1,0.0,-1461.8,6.5,-1116.9,3.9
1002,ISR,1,1,0.0,-663.9,0.8,-1270.7,1.7
1003,ISR,1,1,0.0,-2096.9,10.5,-1103.7,3.7
1004,ISR,1,1,0.0,-1340.9,2.3,-1023.5,1.3
1005,ISR,1,1,0.0,-1189.6,2.7,-2102.3,5.6
1006,ISR,1,1,0.0,-1766.9,5.2,-1375.2,5.7
1007,ISR,1,1,0.0,-1449.4,8.0,-1466.5,41.3
1008,ISR,1,1,0.0,-1117.8,4.8,-1418.0,37.6
1009,ISR,1,1,0.0,-1816.9,2.7,-1624.0,40.1
1010,ISR,1,1,0.0,-1563.2,5.1,-1521.7,4.6
1011,ISR,1,1,0.0,-1324.0,2.5,-1187.6,5.6
1012,ISR,1,1,0.0,-1265.5,37.1,-1712.3,1.7
1013,ISR,1,1,0.0,-1820.2,37.6,-1709.9,18.8
1014,ISR,1,1,0.0,-995.2,1.3,-1429.7,1.6
1015,ISR,1,1,0.0,-1212.9,2.8,-1594.0,3.0
1016,ISR,1,1,0.0,-2023.9,2.9,-1756.7,41.6
1017,ISR,1,1,0.0,-1830.7,2.5,-2103.4,42.3
1018,ISR,1,1,0.0,-1488.7,3.1,-1179.5,4.0
1019,ISR,1,1,0.0,-928.6,3.2,-1204.9,3.3
1020,ISR,1,1,0.0,-2114.0,0.8,-892.5,0.9
1021,ISR,1,1,0.0,-1311.0,1.9,-1029.5,1.5
1022,ISR,1,1,0.0,-1333.0,2.3,-1462.0,3.7
1023,ISR,1,1,0.0,-1507.9,1.3,-500.6,1.6
1024,ISR,1,1,0.0,-1659.2,4.6,-1933.6,78.3
1025,ISR,1,1,0.0,-1080.2,2.0,-647.6,1.8
1026,ISR,1,1,0.0,-1106.6,3.2,-1511.4,3.0
1027,ISR,1,1,0.0,-791.8,2.8,-1024.4,2.7
1028,ISR,1,1,0.0,-1578.5,1.8,-981.4,1.5
1029,ISR,1,1,0.0,-1048.7,3.3,-804.7,30.7
1030,ISR,1,1,0.0,-1592.9,4.8,-1257.4,34.7
1031,ISR,1,1,0.0,-1261.6,3.0,-1092.5,4.1
1032,ISR,1,1,0.0,-1354.4,3.1,-1208.5,1.1
1033,ISR,1,1,0.0,-661.0,2.3,-1236.6,2.6
1034,ISR,1,1,0.0,-1047.3,3.6,-681.4,3.3
1035,ISR,1,1,0.0,-918.6,2.9,-463.8,3.4
1036,ISR,1,1,0.0,-1144.7,4.3,-1597.1,31.1
1037,ISR,1,1,0.0,-1134.7,2.1,-746.6,8.9
1038,ISR,1,1,0.0,-1394.0,2.9,-1224.4,3.7
1039,ISR,1,1,0.0,-1313.9,2.9,-1016.7,27.0
1040,ISR,1,1,0.0,-1286.9,0.6,-855.3,1.8
1041,ISR,1,1,0.0,-736.0,2.9,-1074.6,4.3
1042,ISR,1,1,0.0,-869.1,22.8,-1403.6,2.4
1043,ISR,1,1,0.0,-1622.5,40.6,-1075.5,38.0
1044,ISR,1,1,0.0,-446.2,4.1,-866.6,4.1
1045,ISR,1,1,0.0,-955.8,2.5,-1177.1,2.5
1046,ISR,1,1,0.0,-543.8,3.2,-988.2,3.3
1047,ISR,1,1,0.0,-774.5,3.1,-875.4,3.9
1048,ISR,1,1,0.0,-1253.3,3.4,-1448.4,39.6
1049,ISR,1,1,0.0,-648.4,2.5,-919.6,2.8
1050,ISR,1,1,0.0,-769.6,2.4,-1134.5,3.4
1051,ISR,1,1,0.0,-1067.0,40.2,-283.6,1.9
1052,ISR,1,1,0.0,-553.6,2.3,-507.4,2.4
1053,ISR,1,1,0.0,-792.6,3.8,-519.4,4.4
