,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
2000,Pentagon,1,1,0.0,-2216.3,52.8,-1700.2,75.3
2001,Pentagon,1,1,0.0,-1789.0,5.6,-1805.8,4.1
2002,Pentagon,1,1,0.0,-1619.4,34.4,-1191.4,31.2
2003,Pentagon,1,1,0.0,-2372.6,63.8,-1228.3,62.1
2004,Pentagon,1,1,0.0,-2175.9,47.3,-1133.2,48.4
2005,Pentagon,1,1,0.0,-1403.6,2.3,-2021.7,6.1
2006,Pentagon,1,1,0.0,-2178.8,10.5,-938.2,9.0
2007,Pentagon,1,1,0.0,-2191.5,23.5,-1282.5,24.1
2008,Pentagon,1,1,0.0,-2004.3,28.7,-960.8,27.7
2009,Pentagon,1,1,0.0,-1789.6,6.7,-1880.4,12.8
2010,Pentagon,1,1,0.0,-1421.7,2.7,-1329.6,1.9
2011,Pentagon,1,1,0.0,-2274.0,38.2,-1340.2,41.9
2012,Pentagon,1,1,0.0,-1964.5,3.3,-1460.4,2.2
2013,Pentagon,1,1,0.0,-1586.7,1.1,-1578.2,1.5
2014,Pentagon,1,1,0.0,-1334.0,5.7,-1347.0,5.5
2015,Pentagon,1,1,0.0,-1829.8,19.6,-765.4,19.1
2016,Pentagon,1,1,0.0,-1143.1,2.3,-1453.1,1.5
2017,Pentagon,1,1,0.0,-1020.3,23.3,-1225.4,21.5
2018,Pentagon,1,1,0.0,-1654.9,45.1,-668.0,15.9
2019,Pentagon,1,1,0.0,-1192.2,2.5,-1384.5,2.0
2020,Pentagon,1,1,0.0,-1442.5,3.1,-1406.9,1.9
2021,Pentagon,1,1,0.0,-1452.7,3.0,-1151.6,1.3
2022,Pentagon,1,1,0.0,-1846.7,4.8,-820.0,0.8
2023,Pentagon,1,1,0.0,-1613.3,3.5,-1039.8,2.3
2024,Pentagon,1,1,0.0,-2106.7,70.3,-1064.8,101.1
2025,Pentagon,1,1,0.0,-1729.0,2.0,-823.2,1.6
2026,Pentagon,1,1,0.0,-2253.9,40.6,-1413.2,37.9
2027,Pentagon,1,1,0.0,-2803.0,96.9,-942.6,94.8
2028,Pentagon,1,1,0.0,-2071.6,66.4,-1476.4,31.8
2029,Pentagon,1,1,0.0,-2130.1,24.0,-1210.2,23.7
2030,Pentagon,1,1,0.0,-1264.1,2.0,-1248.2,2.0
2031,Pentagon,1,1,0.0,-1724.9,3.4,-1055.5,2.2
2032,Pentagon,1,1,0.0,-846.2,2.0,-676.8,1.7
2033,Pentagon,1,1,0.0,-1523.2,2.7,-1467.0,1.7
2034,Pentagon,1,1,0.0,-1051.5,1.6,-295.2,0.4
2035,Pentagon,1,1,0.0,-1333.4,34.1,-1020.6,32.9
2036,Pentagon,1,1,0.0,-912.0,3.0,-944.1,2.0
2037,Pentagon,1,1,0.0,-1141.4,15.0,-775.7,42.6
2038,Pentagon,1,1,0.0,-1124.1,2.0,-1029.8,1.9
2039,Pentagon,1,1,0.0,-1811.8,29.8,-803.0,29.7
2040,Pentagon,1,1,0.0,-1912.8,35.6,-859.4,34.6
2041,Pentagon,1,1,0.0,-1861.2,22.4,-947.7,19.3
2042,Pentagon,1,1,0.0,-1319.6,3.3,-424.2,2.4
2043,Pentagon,1,1,0.0,-1517.7,36.9,-878.5,54.0
2044,Pentagon,1,1,0.0,-1083.1,3.1,-534.2,1.2
2045,Pentagon,1,1,0.0,-1617.9,40.3,-540.8,35.9
2046,Pentagon,1,1,0.0,-724.4,1.3,-790.0,1.1
2047,Pentagon,1,1,0.0,-1293.2,31.2,-1288.5,5.2
2048,Pentagon,1,1,0.0,-1592.0,27.1,-554.6,27.4
2049,Pentagon,1,1,0.0,-778.1,2.3,-608.4,2.8
2050,Pentagon,1,1,0.0,-1213.5,25.2,-1291.5,28.3
2051,Pentagon,1,1,0.0,-1290.3,5.2,-892.9,40.8
2052,Pentagon,1,1,0.0,-518.2,2.6,-1060.4,2.2
2053,Pentagon,1,1,0.0,-1274.6,3.8,-595.2,1.2
2054,Pentagon,1,1,0.0,-975.8,2.7,-833.0,2.6
2055,Pentagon,1,1,0.0,-641.4,1.9,-365.6,0.9
2056,Pentagon,1,1,0.0,-1980.2,40.6,-987.6,36.8
2057,Pentagon,1,1,0.0,-1111.6,2.8,-395.0,1.7
2058,Pentagon,1,1,0.0,-1694.4,59.4,-406.2,58.2
2059,Pentagon,1,1,0.0,-1175.8,3.2,-1085.9,28.2
2060,Pentagon,1,1,0.0,-1070.4,4.6,-598.2,3.0
2061,Pentagon,1,1,0.0,-713.6,1.3,-644.2,1.5
2062,Pentagon,1,1,0.0,-735.1,2.2,-662.2,2.7
