,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
4000,SUNY,1,1,0.0,-2226.1,51.3,-2055.5,32.0
4001,SUNY,1,1,0.0,-2283.7,51.9,-1784.7,43.8
4002,SUNY,1,1,0.0,-2291.6,3.5,-2366.3,29.7
4003,SUNY,1,1,0.0,-1770.2,4.5,-2488.9,34.8
4004,SUNY,1,1,0.0,-2648.5,48.7,-2576.3,36.0
4005,SUNY,1,1,0.0,-2700.3,92.0,-2203.3,36.8
4006,SUNY,1,1,0.0,-1970.2,26.0,-2166.6,24.9
4007,SUNY,1,1,0.0,-1899.9,74.0,-2352.2,6.1
4008,SUNY,1,1,0.0,-1708.4,1.7,-1801.0,2.1
4009,SUNY,1,1,0.0,-2621.3,65.0,-3045.3,95.8
4010,SUNY,1,1,0.0,-2354.7,93.7,-2491.2,27.2
4011,SUNY,1,1,0.0,-2344.6,86.1,-1565.7,36.0
4012,SUNY,1,1,0.0,-1359.4,1.8,-1380.6,3.0
4013,SUNY,1,1,0.0,-1977.0,74.2,-1673.9,40.1
4014,SUNY,1,1,0.0,-2304.5,91.7,-1686.9,32.9
4015,SUNY,1,1,0.0,-1262.0,1.6,-1718.2,2.8
4016,SUNY,1,1,0.0,-1705.5,34.8,-1784.2,31.2
4017,SUNY,1,1,0.0,-2205.4,3.5,-2120.9,1.4
4018,SUNY,1,1,0.0,-2636.7,73.4,-1739.6,40.5
4019,SUNY,1,1,0.0,-2178.3,38.4,-1527.7,2.5
4020,SUNY,1,1,0.0,-2224.9,70.3,-2178.2,67.4
4021,SUNY,1,1,0.0,-2303.3,46.9,-1464.3,35.5
4022,SUNY,1,1,0.0,-1788.2,5.6,-2119.0,99.0
4023,SUNY,1,1,0.0,-2194.8,83.3,-1748.4,23.9
4024,SUNY,1,1,0.0,-1724.9,24.0,-1384.5,1.5
4025,SUNY,1,1,0.0,-2675.0,66.9,-2032.6,54.9
4026,SUNY,1,1,0.0,-1576.0,2.7,-1854.3,25.1
4027,SUNY,1,1,0.0,-2388.6,72.7,-2586.9,114.8
4028,SUNY,1,1,0.0,-2760.9,96.5,-2320.2,60.2
4029,SUNY,1,1,0.0,-2216.8,58.7,-2421.4,71.1
4030,SUNY,1,1,0.0,-1752.8,62.0,-2250.3,63.1
4031,SUNY,1,1,0.0,-2366.7,102.9,-2229.5,30.4
4032,SUNY,1,1,0.0,-1668.7,46.4,-2341.7,103.7
4033,SUNY,1,1,0.0,-1136.1,6.4,-2267.0,66.2
4034,SUNY,1,1,0.0,-1438.9,2.4,-1316.5,2.2
4035,SUNY,1,1,0.0,-2119.5,116.1,-2065.3,88.5
4036,SUNY,1,1,0.0,-1644.0,24.1,-1787.5,33.6
4037,SUNY,1,1,0.0,-2613.6,83.8,-1312.0,5.7
4038,SUNY,1,1,0.0,-1409.9,2.1,-1192.7,1.4
4039,SUNY,1,1,0.0,-2287.1,68.0,-1356.9,17.0
4040,SUNY,1,1,0.0,-2130.9,67.4,-1921.0,104.2
4041,SUNY,1,1,0.0,-2279.6,74.5,-2117.8,68.0
4042,SUNY,1,1,0.0,-1582.8,33.9,-1905.6,34.5
4043,SUNY,1,1,0.0,-1713.2,73.8,-2038.4,61.5
4044,SUNY,1,1,0.0,-1145.9,2.5,-981.0,1.8
4045,SUNY,1,1,0.0,-1722.4,64.9,-1736.0,33.5
4046,SUNY,1,1,0.0,-1819.7,50.6,-1106.5,2.1
4047,SUNY,1,1,0.0,-2095.3,29.2,-2439.1,78.6
4048,SUNY,1,1,0.0,-1524.4,24.2,-1044.8,3.9
4049,SUNY,1,1,0.0,-1640.3,57.8,-1430.6,32.9
